id,flow,parse_ok,scenario_success,steps_total,steps_success,steps_skipped,steps_error,step_success_rate,skip_rate,self_heal_events,self_heal_steps,self_heal_success_steps,self_heal_failed_steps,alerts_total,rollback_requested,rollback_applied,rollback_failed,post_heal_success_rate,error,manual_strict_task_success,manual_entity_resolution_correct,manual_wrong_object_success,manual_postcondition_satisfied,manual_reviewer,manual_notes,designed_self_healing_required,manual_review_status
U25,manual_template,1,1,2,2,0,0,1.0,0.0,1,1,1,0,0,1,1,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: явная политика reuse-existing запустила self-healing/reuse и достигла ожидаемого бизнес-результата.,1,ok_manual
U26,manual_template,1,1,1,1,0,0,1.0,0.0,0,0,0,0,0,1,1,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
U27,manual_template,1,1,2,2,0,0,1.0,0.0,0,0,0,0,0,1,1,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
U28,manual_template,1,1,3,3,0,0,1.0,0.0,2,2,2,0,0,2,2,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S01,eval_aligned_s01,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,2,2,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S02,eval_aligned_s02,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S03,eval_aligned_s03,1,1,3,3,0,0,1.0,0.0,1,1,1,0,0,2,2,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S04,eval_aligned_s04,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,2,2,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S05,eval_aligned_s05,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S06,eval_aligned_s06,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S07,eval_aligned_s07,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S08,eval_aligned_s08,1,1,2,2,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S09,eval_aligned_s09,1,1,5,5,0,0,1.0,0.0,0,0,0,0,0,11,11,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S10,eval_aligned_s10,1,1,5,5,0,0,1.0,0.0,1,1,1,0,0,22,22,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S11,eval_aligned_s11,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S12,eval_aligned_s12,1,1,5,5,0,0,1.0,0.0,0,0,0,0,0,14,14,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S13,eval_aligned_s13,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,2,2,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S14,eval_aligned_s14,1,1,4,4,0,0,1.0,0.0,1,1,1,0,0,2,2,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S15,eval_aligned_s15,1,1,5,5,0,0,1.0,0.0,1,1,1,0,0,4,4,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S16,eval_aligned_s16,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,22,22,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S17,eval_aligned_s17,1,1,4,4,0,0,1.0,0.0,1,1,1,0,0,21,21,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S18,eval_aligned_s18,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,2,2,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S19,eval_aligned_s19,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S20,eval_aligned_s20,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S21,eval_aligned_s21,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S22,eval_aligned_s22,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,3,3,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S23,eval_aligned_s23,1,1,5,5,0,0,1.0,0.0,1,1,1,0,0,9,9,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S24,eval_aligned_s24,1,1,3,3,0,0,1.0,0.0,0,0,0,0,0,1,1,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S25,eval_aligned_s25,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,22,22,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S26,eval_aligned_s26,1,1,4,4,0,0,1.0,0.0,1,1,1,0,0,2,2,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
S27,eval_aligned_s27,1,1,4,4,0,0,1.0,0.0,0,0,0,0,0,2,2,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S28,eval_aligned_s28,1,1,2,2,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S29,eval_aligned_s29,1,1,5,5,0,0,1.0,0.0,0,0,0,0,0,4,4,0,0.0,,1,1,0,1,ручная проверка policy 2026-05-11,"Ручная проверка: значения DSL соответствуют eval-запросу, исполнение достигло ожидаемого результата.",0,ok_manual
S30,eval_aligned_s30,1,1,5,5,0,0,1.0,0.0,1,1,1,0,0,2,2,0,1.0,,1,1,0,1,ручная проверка policy 2026-05-11,Ручная проверка: сценарий с опечаткой или явной policy-ситуацией достиг ожидаемого бизнес-результата.,1,ok_manual
